Istanbul,Turkey 2023-09-01 to 2023-12-31
name;datetime;tempmax;tempmin;temp;feelslikemax;feelslikemin;feelslike;dew;humidity;precip;precipprob;precipcover;preciptype;snow;snowdepth;windgust;windspeed;winddir;sealevelpressure;cloudcover;visibility;solarradiation;solarenergy;uvindex;severerisk;sunrise;sunset;moonphase;conditions;description;icon;stations
Istanbul,Turkey;2023-09-01;29.1;22.9;26.1;31.1;22.9;26.9;20;69.5;0;0;0;;0;0;38.2;19.7;18.4;1014.8;50.9;12.8;173.8;14.9;9;;2023-09-01T06:30:09;2023-09-01T19:37:34;0.54;Partially cloudy;Partly cloudy throughout the day.;partly-cloudy-day;D8508,LTBA,17063099999,17061099999,17064099999,17059099999,17060099999
Istanbul,Turkey;2023-09-02;28.9;23.9;26.2;30.8;23.9;26.9;20.6;72.1;0;0;0;;0;0;44.3;29.7;39.1;1016.2;50.4;12.8;103.7;8.8;8;;2023-09-02T06:31:09;2023-09-02T19:35:56;0.58;Partially cloudy;Partly cloudy throughout the day.;partly-cloudy-day;D8508,LTBA,17063099999,17061099999,17064099999,17059099999,17060099999
Istanbul,Turkey;2023-09-03;28.3;23.5;25.7;29.8;23.5;26.2;18.9;66.4;207;100;8.33;rain;0;0;45;29.7;33.1;1015.5;47.5;12.8;27.6;1.7;2;;2023-09-03T06:32:08;2023-09-03T19:34:18;0.61;Rain, Partially cloudy;Partly cloudy throughout the day with rain.;rain;D8508,LTBA,17063099999,17061099999,17064099999,17059099999,17060099999
Istanbul,Turkey;2023-09-04;27.8;21.2;24.5;28.7;21.2;24.7;16.9;62.9;0;0;0;;0;0;43.6;25.5;47.1;1010.9;35.4;12.8;208.8;18.2;8;;2023-09-04T06:33:08;2023-09-04T19:32:39;0.64;Partially cloudy;Partly cloudy throughout the day.;partly-cloudy-day;D8508,LTBA,17063099999,17061099999,17064099999,17059099999,17060099999
Istanbul,Turkey;2023-09-05;28;22.1;24.7;28.8;22.1;24.7;19.1;71.6;1.024;100;8.33;rain;0;0;44.6;37.1;46.4;1011.1;70.5;12.2;109.3;9.2;9;;2023-09-05T06:34:07;2023-09-05T19:31:00;0.68;Rain, Partially cloudy;Partly cloudy throughout the day with rain.;rain;D8508,LTBA,17063099999,17061099999,17064099999,17059099999,17060099999
Istanbul,Turkey;2023-09-06;27.4;23.8;25.1;29.3;23.8;25.4;19.7;72.2;166;100;8.33;rain;0;0;51.1;36.5;46.7;1015.8;61.5;12.5;0;0;0;;2023-09-06T06:35:06;2023-09-06T19:29:20;0.71;Rain, Partially cloudy;Partly cloudy throughout the day with rain clearing later.;rain;D8508,LTBA,17063099999,17061099999,17064099999,17059099999,17060099999
Istanbul,Turkey;2023-09-07;27.9;23.6;25.3;28.7;23.6;25.4;19.1;68.9;0;0;0;;0;0;57.6;38.7;48.7;1016.5;61.1;12.6;;;;;2023-09-07T06:36:06;2023-09-07T19:27:40;0.75;Partially cloudy;Partly cloudy throughout the day.;partly-cloudy-day;LTBA,17063099999,17061099999,17064099999,17059099999,17060099999
Istanbul,Turkey;2023-09-08;27.2;23;25;27.8;23;25;17.3;62.8;0;0;0;;0;0;49.7;29.7;45.1;1015.9;69.8;12.8;97.7;8.4;4;;2023-09-08T06:37:05;2023-09-08T19:26:00;0.78;Partially cloudy;Partly cloudy throughout the day.;partly-cloudy-day;D8508,LTBA,17063099999,17061099999,17064099999,17059099999,17060099999
Istanbul,Turkey;2023-09-09;26.1;20.6;23.5;26.1;20.6;23.5;15.3;60.2;0;0;0;;0;0;44.3;29.3;44.8;1015.6;32.2;12.8;166.2;14.5;9;;2023-09-09T06:38:05;2023-09-09T19:24:19;0.81;Partially cloudy;Partly cloudy throughout the day.;partly-cloudy-day;D8508,LTBA,17063099999,17061099999,17064099999,17059099999,17060099999
Istanbul,Turkey;2023-09-10;26.3;19.5;23.1;26.3;19.5;23.1;15.3;61.9;1.545;100;4.17;rain;0;0;55.4;30.9;52.8;1015.8;32.7;12.7;216.9;18.7;8;;2023-09-10T06:39:04;2023-09-10T19:22:38;0.84;Rain, Partially cloudy;Partly cloudy throughout the day with late afternoon rain.;rain;D8508,LTBA,17063099999,17061099999,17064099999,17059099999,17060099999
