startDate,value
2023-10-02,621.0
2023-10-03,11309.0
2023-10-04,5580.0
2023-10-05,10851.0
2023-10-06,15525.0
2023-10-07,1774.0
2023-10-08,4058.0
2023-10-09,12359.0
2023-10-10,5734.0
2023-10-11,10102.0
2023-10-12,7065.0
2023-10-13,3166.0
2023-10-14,2826.0
2023-10-15,3735.0
2023-10-16,7140.0
2023-10-17,6035.0
2023-10-18,10689.0
2023-10-19,5115.0
2023-10-20,6023.0
2023-10-21,4932.0
2023-10-22,8435.0
2023-10-23,8332.0
2023-10-24,14533.0
2023-10-25,11086.0
2023-10-26,6265.0
2023-10-27,3755.0
2023-10-28,5523.0
2023-10-29,1708.0
2023-10-30,9592.0
2023-10-31,8600.0
2023-11-01,5030.0
2023-11-02,8835.0
2023-11-03,9890.0
2023-11-04,7594.0
2023-11-05,1253.0
2023-11-06,8666.0
2023-11-07,10367.0
2023-11-08,6048.0
2023-11-09,6801.0
2023-11-10,6059.0
2023-11-11,3840.0
2023-11-12,2185.0
2023-11-13,6634.0
2023-11-14,5442.0
2023-11-15,5603.0
2023-11-16,6009.0
2023-11-17,5173.0
2023-11-18,3917.0
2023-11-19,3838.0
2023-11-20,6559.0
2023-11-21,7673.0
2023-11-22,5302.0
2023-11-23,1882.0
2023-11-24,4110.0
2023-11-25,2953.0
2023-11-26,2310.0
2023-11-27,5878.0
2023-11-28,8351.0
2023-11-29,5090.0
2023-11-30,12275.0
2023-12-01,1701.0
2023-12-02,7524.0
2023-12-03,4907.0
2023-12-04,6571.0
2023-12-05,4739.0
2023-12-06,4916.0
2023-12-07,12073.0
2023-12-08,73.0
2023-12-09,6398.0
2023-12-10,4105.0
2023-12-11,1797.0
2023-12-12,5422.0
2023-12-13,7178.0
2023-12-14,5945.0
2023-12-15,4980.0
2023-12-16,6971.0
2023-12-17,5155.0
2023-12-18,4887.0
2023-12-19,2906.0
2023-12-20,3490.0
2023-12-21,4254.0
2023-12-22,6386.0
2023-12-23,4026.0
2023-12-24,6030.0
2023-12-25,4795.0
2023-12-26,5136.0
2023-12-27,4856.0
2023-12-28,6420.0
2023-12-29,7408.0
2023-12-30,4408.0
2023-12-31,4961.0
2024-01-01,1897.0
